id,name,measurement_unit,brand,category
1,Garlic,Clove,NULL,Vegetable
2,Butter,Tablespoon,,Diary
3,"Shredded cheese",Cup,,dairy
4,Parsley,Bunch,,Vegetables
5,Bread,Slice,,Grain
6,Apples,Ounce,,Fruit
7,Chicken,Ounce,,Meat
8,honey,Tablespoon,,Sugar
9,Bacon,Ounce,,Meat
10,Egg,Unit,,Dairy
11,"Lemon Juice",Cup,,Fruit
12,Suger,Tablespoon,,Sweets
13,Water,Cup,,Liquid
14,"Lemon juice",Cup,,Liquid
15,Yogurt,Cup,,Dairy
16,"Olive oil",Tablespoon,,Oils
17,"Red pepper flakes",Teaspoon,,Seasoning
18,Salt,Teaspoon,,Seasoning
19,"Crushed Tomatos",Ounce,,Vegetables
20,"Spaghetti sauce",Ounce,,
21,Noodles,Ounce,,Pasta
